image_id,source_image,marked_image,spot_id,x_center,y_center,radius,component_area,enclosing_circle_radius,quality_score,pass_fail_status,manually_verified_alignment,alignment_note,marker_source,label_confidence,review_status,notes,preliminary_preview_radius,preview_radius,ground_truth_stage,finalization_run_id,finalized_at,dataset_split,split_seed,split_policy_version
1,1.jpg,1m.jpg,1_spot_001,706.844,158.7034,14.5389,327,14.5389,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,16.0,16.0,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_002,304.9535,209.1495,31.518,709,31.518,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,31.518,31.518,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_003,768.5246,216.8845,34.558,814,34.558,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,34.558,34.558,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_004,685.8416,385.6637,21.1275,562,21.1275,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,21.1275,21.1275,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_005,159.0787,419.5569,15.4072,343,15.4072,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,16.0,16.0,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_006,774.0578,467.3857,32.348,796,32.348,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,32.348,32.348,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_007,202.2246,476.7983,30.812,699,30.812,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,30.812,30.812,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_008,820.167,528.2453,24.9099,587,24.9099,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,24.9099,24.9099,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_009,168.5717,577.3415,23.088,530,23.088,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,23.088,23.088,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_010,587.3617,666.6928,49.6237,1211,49.6237,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,49.6237,49.6237,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_011,196.7041,661.5095,27.4114,632,27.4114,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,27.4114,27.4114,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_012,833.195,718.1686,25.2466,605,25.2466,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,25.2466,25.2466,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_013,388.0248,952.0295,31.7806,847,31.7806,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,31.7806,31.7806,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_014,361.265,1003.641,22.229,585,22.229,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,22.229,22.229,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_015,110.7949,1016.9316,26.0991,746,26.0991,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,26.0991,26.0991,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_016,968.445,1086.3263,30.9557,809,30.9557,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,30.9557,30.9557,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_017,120.0791,1112.4516,30.6106,733,30.6106,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,30.6106,30.6106,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_018,529.9623,1137.1119,34.7708,822,34.7708,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,34.7708,34.7708,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_019,189.2399,1150.0257,34.3002,817,34.3002,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,34.3002,34.3002,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
1,1.jpg,1m.jpg,1_spot_020,316.6099,1166.2399,23.2864,546,23.2864,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,human_verified_ground_truth,final_confirmed,no automatic merge; no warp; no coordinate correction,23.2864,23.2864,final,final_20260624_135135,2026-06-24T13:51:35,train,20260624,source_level_80_10_10_v1
