source_id,source_image,marked_image,output_file,label,x,y,width,height,patch_size,source_width,source_height,dirty_spot_id,dirty_center_x,dirty_center_y,blue_component_area,generation_method,marked_x,marked_y,original_x,original_y,original_match_score,resolved_image_id,resolved_source_image,dataset_split,pass_fail_status,lineage_status,traceability_level,audit_notes
1,1.jpg,1m.jpg,clean_negative/clean_1_1.jpg,clean_negative,0,0,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_2.jpg,clean_negative,352,0,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_3.jpg,clean_negative,385,0,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_4.jpg,clean_negative,418,0,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_5.jpg,clean_negative,816,0,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_6.jpg,clean_negative,852,0,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_7.jpg,clean_negative,0,48,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_8.jpg,clean_negative,352,48,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_9.jpg,clean_negative,385,48,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_10.jpg,clean_negative,418,48,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_11.jpg,clean_negative,816,48,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_12.jpg,clean_negative,852,48,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_13.jpg,clean_negative,417,92,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_14.jpg,clean_negative,0,96,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_15.jpg,clean_negative,352,96,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_16.jpg,clean_negative,385,96,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_17.jpg,clean_negative,816,96,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_18.jpg,clean_negative,852,96,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_19.jpg,clean_negative,0,130,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_20.jpg,clean_negative,352,144,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_21.jpg,clean_negative,385,144,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_22.jpg,clean_negative,389,144,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_23.jpg,clean_negative,816,144,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_24.jpg,clean_negative,852,144,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_25.jpg,clean_negative,821,191,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_26.jpg,clean_negative,352,192,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_27.jpg,clean_negative,385,192,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_28.jpg,clean_negative,389,192,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_29.jpg,clean_negative,852,192,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_30.jpg,clean_negative,823,231,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_31.jpg,clean_negative,337,240,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
1,1.jpg,1m.jpg,clean_negative/clean_1_32.jpg,clean_negative,385,240,256,256,256,1108,1476,,,,,sliding_window_clean,,,,,,1,1.jpg,train,PASS,resolved,source-level only,clean-negative source split is traceable; defect-free status is not re-proven by this audit
